,0
n,1763
Col_PLASMID,0.0007433804751810113
IncB_PLASMID,2.5050224558694392e-05
IncC_PLASMID,4.47596792725668e-12
IncFIA_PLASMID,1.9297279325920252e-06
IncFIB_PLASMID,6.110694595451163e-12
IncFII_PLASMID,0.00010778560501199887
IncI_PLASMID,6.63926884314353e-05
IncN_PLASMID,6.9616013297805676e-06
IncQ_PLASMID,5.054280744165513e-13
IncX_PLASMID,6.568717236406491e-05
IncY_PLASMID,3.931624334331966e-05
aac_AMR,6.631919509749381e-05
aap_VIR,7.064450158462838e-14
amp_AMR,1.6118964136869663e-05
ant_AMR,1.0206271113947241e-13
aph_AMR,5.848029128123707e-07
arr_AMR,8.303323205851738e-13
ast_VIR,6.609735718400132e-07
blaCMY_AMR,5.086679532880521e-15
blaCTX-M-14_AMR,1.3652627290794497e-14
blaCTX-M-15_AMR,7.973447028164229e-05
blaCTX-M-27_AMR,0.0005562047897953903
blaCTX-M_AMR,3.298659211097081e-14
blaKPC_AMR,3.3738464886631053e-13
blaOXA_AMR,0.00027243002540180397
blaTEM_AMR,4.453961940653985e-06
cap_VIR,6.739138788855098e-15
cat_AMR,8.625982785664034e-11
cml_AMR,4.159088196364772e-13
cva_VIR,8.746482646775781e-05
dfr_AMR,2.5614063239418217e-07
emr_STRESS,4.307095227813187e-06
erm_AMR,3.4468617026673457e-15
fde_VIR,2.9864353175689185e-05
glp_AMR,5.8614474587829374e-06
gyr_AMR,0.00208583425428859
ibe_VIR,6.100706202806108e-13
iha_VIR,1.326426469602965e-12
ire_VIR,6.013095424307241e-16
iro_VIR,5.6529881766365016e-05
iss_VIR,0.00012103985105894611
iuc_VIR,0.00015603520498360003
iut_VIR,3.65203138508695e-15
mch_VIR,4.156703371388719e-05
mdt_AMR,0.00016228835472293404
mer_STRESS,9.845300692407213e-05
mph_AMR,1.2215544258201592e-12
p0111_PLASMID,3.9393607924284405e-15
pap_VIR,2.0445293762005325e-15
par_AMR,2.5146240447302923e-05
pmr_AMR,3.172622906996356e-11
qnr_AMR,8.033163312707854e-07
sat_AMR,6.415136561812062e-16
sat_VIR,8.86225397387012e-05
sen_VIR,5.208019028900748e-13
sfa_VIR,5.1323424202571805e-14
ssl_VIR,1.1249511175984967e-05
sul_AMR,0.00019932275657119953
tet(A)_AMR,0.0005069691533732617
tet(B)_AMR,6.736732686657334e-05
ymg_STRESS,1.2406039910223017e-06
blood_META,2.513794915397756e-05
PRJNA248737_META,0.0007434559549761977
PRJNA278886_META,1.1006116051774114e-07
PRJNA288601_META,0.0006716122432143294
PRJNA381936_META,0.0002574454122207861
PRJNA448593_META,2.1376099495210148e-14
PRJNA475142_META,6.550902174853653e-13
PRJNA475751_META,0.00012284300063647563
PRJNA530580_META,1.0929060553209075e-12
PRJNA530794_META,3.102710113816539e-05
PRJNA578285_META,0.00255020299498659
PRJNA592372_META,0.00012731234481693542
PRJNA658369_META,5.1045322897227236e-05
PRJNA809394_META,5.399552655153747e-05
PRJNA824420_META,7.224600724867475e-05
PRJNA836696_META,8.012867809805867e-06
aad-qac_AMR,5.593018950457979e-06
cnf-hly_VIR,0.00098703215697549
blaNDM-ble_AMR,1.1375434863907345e-06
trx-kef-psi_STRESS,1.031499497170542e-06
agg-aar-aat_VIR,1.1434376572910435e-15
afa-nfa_VIR,0.00015702959421750237
time_fitness,0.011996760009531201
random_fitness,0.060950516256805025
AMR,0.004303413595213058
Plasmid Replicon,0.0012738892613812752
Virulence,0.0014893783070116426
Stress,0.00010541451090903576
Background,0.005135717214943915
Time,0.011996760009531201
Random,0.060950516256805025
AMR_MULT_FITNESS,1.1744849647389215
Plasmid Replicon_MULT_FITNESS,1.0489293517955947
Virulence_MULT_FITNESS,1.1201823136731475
Stress_MULT_FITNESS,1.0333751333060999
Background_MULT_FITNESS,1.0319544208451215
Time_MULT_FITNESS,1.1087961428943087
Random_MULT_FITNESS,1.1476004776578357
AMR_Plasmid Replicon_COV,9.861636216355496e-05
AMR_Virulence_COV,-0.00014473832410276995
AMR_Stress_COV,-0.0003490835076896047
AMR_Background_COV,0.0009651945150693148
AMR_Time_COV,0.0016124958302468537
AMR_Random_COV,0.0029341234444960652
Plasmid Replicon_Virulence_COV,-0.0007024852216331417
Plasmid Replicon_Stress_COV,6.499782323840274e-05
Plasmid Replicon_Background_COV,-0.0010843358863618657
Plasmid Replicon_Time_COV,0.0013317212943592064
Plasmid Replicon_Random_COV,-0.00023877014233793348
Virulence_Stress_COV,2.5005728859494665e-05
Virulence_Background_COV,-2.19538006105566e-05
Virulence_Time_COV,0.0005043705950077545
Virulence_Random_COV,0.0022514290373069415
Stress_Background_COV,-7.938962407250036e-05
Stress_Time_COV,-2.5366904051757254e-05
Stress_Random_COV,-0.00037565786882910734
Background_Time_COV,-0.009337868791991775
Background_Random_COV,0.0005874741100224103
Time_Random_COV,0.0099948491322675
TOTAL,0.09326571695715166
TOTAL_DIRECT,
TOTAL_SUMMED,0.09326571695715166
LINEAR_AVG_FIT,0.6273240207392875
LINEAR_VAR_FIT,0.09321281524588834
TOTAL_NO_COV,0.08525508915579516
FRAC_AMR,0.050476911558311785
FRAC_PLASMID REPLICON,0.014942090542575937
FRAC_VIRULENCE,0.017469670394572603
FRAC_STRESS,0.001236460039545572
FRAC_BACKGROUND,0.06023942108088005
FRAC_TIME,0.14071605728554598
FRAC_RANDOM,0.714919389098568
FRAC_MODEL,0.2850806109014319
FRAC_GENETIC,0.08412513253500589
FRAC_BGTIME,0.20095547836642602
